Ritz wavelength (nm),Li I (6.5e-03),Li II (3.2e-01),Li III (5.5e-29),C I (1.2e-01),C II (5.2e-02),C III (1.4e-08),O I (4.8e-01),O II (1.6e-02),O III (1.1e-12)
327.0856,,,,,,,,1.697e-8,
327.0905,,,,,,,,1.212e-9,
327.3434,,,,,,,,2.422e-8,
327.7561,,,,,,,,6.138e-8,
328.1831,,,,,,,,,6.097e-23
328.445,,,,,,,,,5.938e-23
328.6414,,,,,,,,,4.689e-26
328.7471,,,,,,,,1.495e-7,
328.7647,,,,,,,,,1.407e-25
329.4987,,,,,,,,2.067e-8,
329.9385,,,,,,,,,5.834e-22
330.1411,,,,,,,,1.110e-8,
330.5003,,,,,,,,5.972e-8,
330.6284,,1.085e-25,,,,,,,
330.6451,,,,,,,,5.810e-8,
331.2329,,,,,,,,,1.636e-21
332.6055,,,,,,,,,3.420e-27
333.0301,,,,,,,,,6.041e-25
333.0319,,,,,,,,,1.029e-26
333.2406,,,,,,,,,1.022e-26
333.2928,,,,,,,,,6.181e-25
333.6668,,,,,,,,,2.015e-25
333.6686,,,,,,,,,1.895e-27
334.0765,,,,,,,,,2.337e-21
334.4197,,,,,,,,,1.109e-25
334.451,,,,,,,,,1.062e-26
334.798,,,,,,,,,1.050e-26
335.0617,,,,,,,,,6.003e-25
335.0921,,,,,,,,,1.215e-24
335.5858,,,,,,,,,2.103e-26
336.1051,,,,,1.286e-4,,,,
336.1721,,,,,7.131e-5,,,,
336.2312,,,,,,,,,6.094e-25
337.6612,,,,,,,,,6.777e-27
337.6765,,,,,,,,,1.528e-26
337.7146,,,,,,,,2.615e-7,
337.7264,,,,,,,,,1.183e-26
338.2612,,,,,,,,,3.137e-26
338.3311,,,,,,,,,5.049e-27
338.3812,,,,,,,,,1.962e-26
338.4901,,,,,,,,,5.994e-26
339.0209,,,,,,,,5.224e-7,
339.422,,,,,,,,,1.553e-26
339.5428,,,,,,,,,2.219e-27
340.5718,,,,,,,,,1.295e-23
340.7223,,,,,,,,1.761e-9,
340.7276,,,,,,,,2.473e-8,
340.8131,,,,,,,,,1.285e-23
340.9706,,,,,,,,1.579e-8,
340.976,,,,,,,,1.755e-9,
341.5262,,,,,,,,,9.662e-24
342.3364,,,,,,,,,5.156e-26
342.7364,,,,,,,,,1.147e-25
342.8626,,,,,,,,,1.611e-23
343.0568,,,,,,,,,1.590e-23
343.5123,,,,,,,,,3.832e-26
344.0363,,,,,,,,,2.100e-25
344.4052,,,,,,,,,4.775e-23
344.6682,,,,,,,,,3.441e-26
344.7155,,,,,,,,,1.729e-26
344.7924,,,,,,,,,3.768e-26
344.7968,,,,,,,,,5.862e-26
345.0907,,,,,,,,,9.036e-26
345.1305,,,,,,,,,1.722e-26
345.4835,,,,,,,,,2.442e-26
345.4986,,,,,,,,,1.304e-25
345.7933,,,,,,,,1.705e-9,
345.8923,,,,,,,,1.222e-9,
345.948,,,,,,,,,2.436e-27
345.9935,,,,,,,,,2.532e-26
346.6128,,,,,,,,,1.782e-26
346.685,,,,,,,,,2.417e-27
347.0277,,,,,,,,9.239e-8,
347.0672,,,,,,,,1.429e-7,
349.824,,,,,,4.150e-22,,,
350.6783,,,,,,5.750e-18,,,
352.0945,,,,,,,,,2.362e-26
353.1223,,,,,,,,,2.331e-26
353.3385,,,,,,,,,1.748e-26
353.4904,,,,,,,,,2.918e-26
355.5241,,,,,,,,,2.866e-26
355.6779,,,,,,,,,8.569e-26
358.4971,,,,,4.720e-6,,,,
358.7652,,,,,5.628e-6,,,,
358.8905,,,,,4.409e-6,,,,
358.9651,,,,,2.094e-5,,,,
359.0758,,,,,4.400e-6,,,,
359.0876,,,,,1.106e-5,,,,
360.8778,,,,,,5.487e-19,,,
360.9052,,,,,,1.235e-18,,,
360.9071,,,,,,4.118e-19,,,
360.962,,,,,,2.302e-18,,,
360.9676,,,,,,4.111e-19,,,
362.741,,,,,,,,1.908e-10,
367.169,3.545e+1,,,,,,,,
367.174,6.377e+1,,,,,,,,
368.4602,,2.303e-24,,,,,,,
368.47,,1.382e-24,,,,,,,
368.4754,,4.606e-25,,,,,,,
369.5162,,,,,,,,,2.059e-26
369.5375,,,,,,,,,5.138e-25
369.8718,,,,,,,,,1.350e-24
370.2743,,,,,,,,,4.897e-23
370.3355,,,,,,,,,2.556e-24
370.3695,,,,,,5.108e-19,,,
370.4749,,,,,,,,,6.613e-25
370.7272,,,,,,,,,1.092e-22
370.9543,,,,,,,,,2.933e-25
371.2493,,,,,,,,,8.443e-25
371.2744,,,,,,,,1.532e-6,
371.4028,,,,,,,,,3.648e-23
371.5086,,,,,,,,,2.009e-22
372.089,5.328e+1,,,,,,,,
372.089,,,,,,,,,6.625e-25
372.094,9.589e+1,,,,,,,,
372.1954,,,,,,,,,2.171e-25
372.5313,,,,,,,,,3.587e-23
372.7319,,,,,,,,3.142e-6,
372.8506,,,,,,,,,2.718e-26
372.8838,,,,,,,,,3.865e-26
372.9221,,,,,,,,3.943e-9,
372.9802,,,,,,,,,1.859e-26
373.483,,,,,,,,,9.481e-26
373.5786,,,,,,,,7.078e-9,
373.9761,,,,,,,,9.024e-8,
374.164,,,,,,,,2.336e-9,
374.2632,,,,,,,,,3.413e-27
374.6899,,,,,,,,,3.350e-27
374.9484,,,,,,,,4.998e-6,
375.4696,,,,,,,,,6.938e-21
375.7232,,,,,,,,,3.126e-21
375.9875,,,,,,,,,1.229e-20
376.1403,,,,,,,,1.736e-9,
376.2465,,,,,,,,6.406e-8,
377.4026,,,,,,,,,2.198e-21
377.742,,,,,,,,2.355e-8,
378.498,,,,,,,,2.033e-10,
379.1275,,,,,,,,,2.064e-21
379.4359,,,,,,,,1.136e-8,
379.502,8.598e+1,,,,,,,,
379.507,1.548e+2,,,,,,,,
380.2984,,,,,,,,5.648e-8,
380.612,,,,,,1.291e-20,,,
381.6751,,,,,,,,,4.348e-24
382.1532,,,,,,,,2.280e-8,
383.0281,,,,,,,,1.127e-8,
383.1726,,,,,7.399e-5,,,,
383.5716,,,,,4.104e-5,,,,
384.28138,,,,,,,,3.529e-8,
384.35832,,,,,,,,2.297e-8,
384.7893,,,,,,,,4.076e-8,
385.07987,,,,,,,,2.214e-8,
385.10332,,,,,,,,6.599e-8,
385.14735,,,,,,,,2.300e-8,
385.5014,,,,,,,4.873e-2,,
385.61342,,,,,,,,5.341e-8,
385.71642,,,,,,,,4.265e-8,
386.34969,,,,,,,,5.196e-8,
386.44309,,,,,,,,1.341e-7,
386.46671,,,,,,,,8.292e-8,
387.57997,,,,,,,,2.187e-8,
388.21937,,,,,,,,4.424e-7,
388.24457,,,,,,,,3.983e-8,
388.31368,,,,,,,,6.966e-8,
388.3816,,,,,,1.308e-18,,,
388.5938,,,,,,1.932e-18,,,
388.6145,,,,,,2.419e-19,,,
388.9137,,,,,,2.778e-18,,,
388.9463,,,,,,2.410e-19,,,
390.3044,,,,,,,,,8.640e-27
390.74549,,,,,,,,5.827e-8,
391.1958,,,,,,,,4.862e-7,
391.2117,,,,,,,,6.289e-8,
391.5292,1.552e+2,,,,,,,,
391.5342,2.794e+2,,,,,,,,
391.8968,,,,,3.764e-3,,,,
391.9272,,,,,,,,2.737e-7,
392.0681,,,,,7.516e-3,,,,
393.1351,,,,,,,,,8.742e-27
393.4823,,,,,,,,,4.714e-26
394.4854,,,,,,,,,1.164e-26
394.50376,,,,,,,,8.666e-7,
394.8012,,,,,,,,,2.593e-26
395.43617,,,,,,,,1.861e-6,
396.1573,,,,,,,,,1.483e-22
396.2963,,,,,,,,2.350e-9,
397.3256,,,,,,,,4.398e-6,
398.27141,,,,,,,,9.035e-7,
399.7953,,,,,,,4.849e-2,,
400.9882,,,,,2.590e-6,,,,
401.7272,,,,,1.728e-6,,,,
405.6061,,,,,,1.656e-18,,,
406.794,,,,,,6.203e-18,,,
406.8916,,,,,,8.674e-18,,,
406.9623,,,,,,,,7.378e-7,
406.98819,,,,,,,,1.146e-6,
407.026,,,,,,1.059e-17,,,
407.0306,,,,,,5.414e-19,,,
407.21525,,,,,,,,1.830e-6,
407.2643,,,,,,,,,8.550e-26
407.3984,,,,,,,,,1.898e-25
407.58617,,,,,,,,2.498e-6,
407.88424,,,,,,,,2.707e-7,
408.102,,,,,,,,,3.466e-25
408.46474,,,,,,,,6.156e-8,
408.51124,,,,,,,,3.337e-7,
408.9295,,,,,,,,,6.317e-26
409.29287,,,,,,,,2.505e-7,
409.6526,,,,,,,,1.120e-7,
409.72249,,,,,,,,1.645e-7,
410.29994,,,,,,,,1.160e-7,
410.3066,,,,,,,,,6.187e-26
410.47235,,,,,,,,2.142e-7,
410.49899,,,,,,,,4.146e-7,
411.0192,,,,,,,,8.899e-9,
411.07863,,,,,,,,1.755e-7,
411.20186,,,,,,,,1.171e-7,
411.3834,,,,,,,,1.266e-8,
411.92165,,,,,,,,1.206e-6,
412.02783,,,,,,,,1.465e-7,
412.05468,,,,,,,,1.281e-7,
412.14626,,,,,,,,1.237e-7,
412.1591,,,,,,,,,8.213e-27
412.1845,,,,,,1.239e-18,,,
412.93198,,,,,,,,3.646e-8,
413.2557,3.337e+2,,,,,,,,
413.2613,6.036e+2,,,,,,,,
413.2615,6.682e+1,,,,,,,,
413.28004,,,,,,,,3.743e-7,
415.2514,,,,,,8.172e-19,,,
415.32977,,,,,,,,4.910e-7,
415.6447,,1.371e-24,,,,,,,
415.6504,,,,,,1.207e-18,,,
415.65302,,,,,,,,8.644e-8,
416.2877,,,,,,1.736e-18,,,
416.92236,,,,,,,,1.679e-7,
417.1768,,,,,,,,,4.932e-27
418.544,,,,,,,,1.413e-7,
418.69,,,,,,9.243e-18,,,
418.9581,,,,,,,,5.222e-9,
418.9788,,,,,,,,1.831e-7,
419.2512,,,,,,,,1.025e-8,
419.6697,,,,,,,,5.687e-9,
426.7001,,,,,9.230e-3,,,,
426.7261,,,,,1.379e-2,,,,
427.3124,6.458e+1,,,,,,,,
427.7695,,,,,,,,2.557e-9,
427.9165,,,,,,,,1.429e-9,
431.3106,,,,,6.785e-6,,,,
431.7139,,,,,,,,3.272e-6,
431.7265,,,,,1.579e-5,,,,
431.8606,,,,,6.293e-6,,,,
431.963,,,,,,,,3.270e-6,
431.9866,,,,,,,,7.153e-9,
432.1657,,,,,2.014e-6,,,,
432.3107,,,,,1.262e-6,,,,
432.5342,,5.554e-24,,,,,,,
432.5415,,1.852e-24,,,,,,,
432.5419,,1.037e-23,,,,,,,
432.5542,,1.851e-24,,,,,,,
432.5761,,,,,,,,6.349e-7,
432.5784,,2.469e-24,,,,,,,
