Ritz wavelength (nm),Fe I (4.4e-02),Fe II (9.5e-01),Fe III (2.2e-03)
233.130809,,1.231e+4,
233.154479,,1.026e+1,
233.197444,,2.183e+2,
233.207628,,6.559e+0,
233.224104,,9.459e+1,
233.279874,,4.603e+4,
233.323203,,1.051e+1,
233.34658,,6.282e+0,
233.370814,,2.833e+2,
233.37827,,2.238e+1,
233.39519,,1.167e+1,
233.412286,,6.878e+1,
233.432083,,5.401e+0,
233.447871,,2.956e+1,
233.472734,,5.868e+0,
233.475275,,3.805e+0,
233.493796,,5.479e+0,
233.502501,,4.723e+0,
233.510808,,3.271e+0,
233.570183,,3.772e+1,
233.629823,,1.468e+1,
233.652929,,4.782e+0,
233.682353,,1.219e+2,
233.725207,,4.938e+0,
233.73782,,3.415e+0,
233.743428,,2.632e+1,
233.752387,,5.872e+1,
233.765457,,1.341e+1,
233.776074,,4.780e+1,
233.795905,,4.578e+0,
233.800655,,2.525e+4,
233.891933,,7.086e+0,
233.8975,,,5.235e-3
233.940765,,4.609e+2,
233.988237,,6.377e+1,
234.03555,,8.365e+1,
234.046246,,4.065e+2,
234.05949,,6.131e+0,
234.117466,,8.907e+1,
234.145226,,4.907e+1,
234.164824,,3.949e+1,
234.177605,,6.178e+0,
234.180239,,9.343e+0,
234.230799,,4.191e+1,
234.277038,,6.868e+0,
234.288806,,1.473e+1,
234.330744,,1.655e+2,
234.349481,,8.710e+4,
234.396077,,8.754e+3,
234.399793,,5.669e+0,
234.415459,,4.848e+1,
234.428128,,2.071e+4,
234.446308,,6.718e+0,
234.46028,,2.442e+1,
234.498424,,4.668e+1,
234.533693,,3.971e+3,
234.53641,,4.750e+0,
234.592712,,3.498e+0,
234.595829,,7.203e+0,
234.626874,,1.007e+2,
234.629528,,1.470e+1,
234.63541,,4.569e+1,
234.661662,,8.036e+1,
234.668118,,7.232e+1,
234.713285,,1.827e+1,
234.741119,,2.060e+1,
234.746693,,7.035e+0,
234.77786,,3.689e+0,
234.811561,,2.622e+4,
234.814629,,1.047e+1,
234.830215,,4.041e+4,
234.867434,,5.708e+0,
234.926883,,8.669e+1,
235.001631,,3.335e+1,
235.017812,,2.570e+2,
235.024665,,3.384e+1,
235.051751,,7.734e+1,
235.120071,,3.235e+3,
235.166673,,3.637e+2,
235.1802,,3.664e+1,
235.195675,,3.789e+1,
235.199975,,1.600e+1,
235.23091,,5.859e+2,
235.302355,,1.209e+1,
235.346963,,2.175e+2,
235.360766,,1.959e+1,
235.36784,,3.561e+2,
235.437354,,3.809e+1,
235.442916,,3.635e+0,
235.447758,,2.878e+3,
235.48898,,4.850e+3,
235.52158,,8.704e+2,
235.535023,,9.093e+2,
235.546213,,4.766e+0,
235.577838,,1.095e+1,
235.583823,,2.406e+1,
235.588092,,6.564e+0,
235.59284,,5.669e+0,
235.658861,,4.138e+0,
235.678708,,4.904e+0,
235.687565,,6.374e+0,
235.700312,,7.826e+2,
235.704849,,3.223e+2,
235.726866,,1.620e+1,
235.785354,,1.818e+1,
235.851617,,3.017e+1,
235.880129,,6.884e+0,
235.895281,,2.035e+1,
235.90245,,3.671e+1,
235.910519,,1.757e+4,
235.913209,,3.233e+3,
235.915173,,3.905e+1,
235.959562,,1.033e+3,
235.990517,,2.705e+1,
235.994412,,4.814e+0,
235.999939,,1.859e+4,
236.005399,,5.406e+1,
236.029423,,1.799e+4,
236.041015,,4.770e+1,
236.051098,,2.035e+2,
236.053102,,6.101e+1,
236.100937,,2.454e+1,
236.111153,,5.781e+0,
236.126837,,1.118e+1,
236.172484,,8.528e+2,
236.202138,,5.475e+3,
236.253575,,8.163e+0,
236.269764,,5.615e+0,
236.309538,,4.165e+1,
236.312007,,7.533e+0,
236.3296,,1.872e+1,
236.350029,,3.712e+2,
236.381056,,5.346e+2,
236.386088,,1.856e+3,
236.387816,,1.307e+2,
236.431065,,2.919e+1,
236.470994,,3.468e+1,
236.482785,,2.971e+4,
236.490765,,1.935e+1,
236.502067,,3.311e+1,
236.504971,,1.842e+1,
236.524322,,4.583e+0,
236.529354,,2.643e+1,
236.532035,,4.406e+1,
236.576239,,4.026e+2,
236.5766,,9.691e+1,
236.631858,,2.813e+0,
236.632122,,6.481e+0,
236.642928,,3.045e+1,
236.659348,,2.825e+3,
236.688818,,1.220e+1,
236.805715,,1.486e+1,
236.838066,,7.873e+0,
236.859599,,1.135e+4,
236.892879,,1.811e+1,
236.966052,,3.973e+0,
236.972704,,1.123e+2,
236.977748,,1.035e+1,
236.980878,,5.119e+0,
236.987929,,5.622e+0,
236.991468,,1.307e+1,
236.995317,,2.552e+3,
237.012889,,6.186e+1,
237.018261,,1.265e+1,
237.049866,,3.143e+3,
237.069813,,2.126e+1,
237.080012,,1.394e+1,
237.094115,,4.652e+1,
237.117506,,4.426e+0,
237.174182,,3.851e+1,
237.263287,,7.967e+2,
237.28071,,2.252e+1,
237.30523,,5.506e+0,
237.33787,,3.430e+0,
237.343652,,7.611e+0,
237.360959,,5.831e+1,
237.373534,,2.861e+4,
237.407078,,6.238e+0,
237.420859,,1.552e+1,
237.439114,,7.180e+1,
