Ritz wavelength (nm),Mn I (3.3e-02),Mn II (9.6e-01)
405.5544,2.706e+3,
405.893,1.101e+3,
405.9388,2.607e+2,
406.173,3.538e+2,
406.3528,7.839e+2,
406.5071,3.375e+2,
406.635,7.328e+1,
407.0278,3.493e+2,
407.5251,4.924e+1,
407.9412,1.162e+3,
408.2939,1.368e+3,
408.3628,1.758e+3,
408.8558,1.819e+1,
408.9931,1.634e+2,
409.2379,9.992e+1,
409.4045,1.891e+1,
409.951,3.664e+1,
410.538,1.241e+2,
410.7865,6.740e+1,
411.3867,5.389e+1,
411.4384,1.088e+2,
411.6502,4.650e+1,
412.2361,4.670e+1,
412.2763,4.233e+1,
412.3281,4.883e+1,
412.5815,3.045e+1,
413.2301,4.253e+1,
413.5034,3.655e+2,
414.1056,2.621e+2,
414.7559,9.722e+1,
414.8788,1.847e+2,
416.4975,2.745e+1,
417.6599,3.054e+2,
418.2244,8.488e+1,
418.9983,2.112e+2,
420.177,1.937e+2,
422.0609,7.278e+1,
423.5295,2.332e+3,
423.973,3.147e+2,
425.7669,2.985e+2,
426.1282,6.768e+1,
426.5923,8.083e+2,
427.8673,4.725e+1,
428.1097,5.849e+2,
428.4085,1.466e+2,
429.0066,3.036e+1,
429.3255,,8.979e+0
429.3676,,6.985e+0
430.0189,6.690e+1,
431.0709,,1.682e+1
438.1708,9.728e+1,
440.8085,3.482e+1,
441.1864,1.999e+2,
441.489,8.393e+2,
441.9774,1.281e+2,
443.6357,8.199e+2,
445.1586,3.119e+3,
445.2524,7.236e+1,
445.3012,5.049e+2,
445.5814,4.158e+2,
445.7044,3.814e+2,
445.7549,1.044e+3,
445.8254,1.507e+3,
446.1079,5.546e+2,
446.2031,2.856e+3,
446.4682,1.258e+3,
447.0144,5.628e+2,
447.2806,4.037e+2,
447.9393,1.829e+2,
449.009,4.672e+2,
449.6626,3.768e+1,
449.8902,7.133e+2,
450.2213,7.270e+2,
450.3874,1.018e+2,
460.537,3.687e+2,
462.653,4.415e+2,
470.9712,7.832e+2,
472.7461,5.682e+2,
473.9087,5.270e+2,
475.4042,2.594e+3,
476.1512,1.175e+3,
476.2367,4.588e+3,
476.5846,1.370e+3,
476.6418,2.095e+3,
478.3427,3.433e+3,
482.3524,4.272e+3,
525.5326,2.443e+2,
529.438,,5.598e+1
529.544,,1.389e+2
529.707,,2.542e+2
529.934,,3.919e+2
530.234,,5.955e+2
601.351,8.647e+2,
602.182,1.669e+3,
612.2431,,3.899e+2
612.2814,,5.469e+1
612.5861,,2.734e+2
612.622,,7.622e+1
612.8732,,1.737e+2
612.9034,,7.217e+1
613.0796,,1.013e+2
613.1016,,5.091e+1
613.1923,,5.091e+1
646.2465,,4.167e+0
646.28,,5.692e+0
646.32,,7.775e+0
646.3627,,1.016e+1
714.0984,,3.265e+1
714.2415,,5.303e+1
714.3331,,4.773e+1
717.2379,,8.774e+1
717.4368,,6.827e+1
717.5813,,2.651e+1
721.9967,,1.584e+2
722.2644,,4.768e+1
724.9122,,2.959e+1
725.2395,,1.160e+2
726.7379,,3.745e+1
726.976,,5.919e+1
727.8586,,2.880e+1
728.0155,,2.209e+1
820.072,,1.185e+1
822.2648,,5.549e+0
823.0914,,4.163e+0
823.2171,,5.011e+0
823.292,,6.479e+0
844.8442,,2.912e+1
849.5211,,4.077e+1
856.5818,,4.854e+1
868.3689,,3.951e+1
869.5197,,3.926e+2
871.332,,2.804e+1
876.9182,,3.174e+2
881.958,,2.285e+2
944.3553,,1.075e+2
946.5137,,1.744e+2
950.0351,,2.454e+2
