Ritz wavelength (nm),V I (2.1e-02),V II (9.7e-01),V III (1.1e-02)
316.37706,,3.599e+2,
316.483946,,2.684e+3,
316.59017,,4.125e+3,
316.74181,,2.012e+3,
316.75056,,3.751e+3,
316.79949,,9.960e+1,
316.813265,,3.509e+3,
317.1493,,3.943e+1,
317.2239,,2.426e+2,
317.40832,,1.236e+3,
317.45329,,1.477e+3,
318.25789,,9.920e+2,
318.340898,5.778e+3,,
318.396014,7.847e+3,,
318.40135,4.411e+3,,
318.5398,9.594e+3,,
318.68531,,1.173e+3,
318.75017,,2.379e+2,
318.771228,,4.100e+4,
318.808729,,6.510e+3,
318.851293,,5.263e+4,
318.9778,,1.402e+3,
319.068244,,7.607e+4,
319.31937,,2.978e+3,
319.543475,,1.392e+3,
319.655947,,1.403e+3,
319.72835,,1.428e+2,
319.80071,6.459e+2,,
320.152964,,1.120e+3,
320.23819,9.263e+2,,
320.55745,1.451e+3,,
320.610816,,9.034e+2,
320.740725,6.110e+2,,
320.834605,,6.667e+3,
321.05042,7.431e+2,,
321.243,1.702e+3,,
321.474555,,6.969e+3,
321.710858,,2.498e+4,
321.88659,1.372e+2,,
321.9646,,4.677e+1,
322.64482,,1.510e+2,
322.6908,,1.700e+3,
323.19439,,3.761e+3,
323.31873,1.776e+2,,
323.353605,,3.347e+3,
323.376457,,5.493e+3,
323.787051,,1.927e+4,
324.28102,,6.316e+1,
324.71512,,1.552e+2,
324.96014,,2.540e+3,
325.077335,,1.356e+4,
325.186398,,1.023e+4,
325.47638,,1.633e+4,
325.56477,9.838e+1,,
325.71982,,5.133e+1,
325.78863,,3.938e+3,
326.17862,,1.187e+3,
326.32376,1.655e+2,,
326.33215,,2.061e+3,
326.5885,,5.960e+3,
326.770229,,8.839e+4,
326.89346,,7.911e+2,
327.11225,,1.106e+5,
327.163375,1.630e+2,,
327.30124,1.613e+2,,
327.45059,,1.137e+3,
327.612463,,1.399e+5,
327.74336,,3.240e+3,
327.77102,,3.053e+3,
327.984316,,2.818e+4,
328.111122,,9.978e+2,
328.113505,,1.114e+3,
328.1748,,1.111e+3,
328.252936,,1.326e+4,
328.33096,1.419e+2,,
328.43572,1.908e+2,,
328.482384,,7.837e+2,
328.501422,,2.531e+3,
328.703571,,5.749e+2,
328.830118,,1.170e+3,
328.938805,,5.929e+3,
329.02339,,8.176e+2,
329.31454,,1.438e+3,
329.75076,,8.760e+2,
329.81473,1.070e+2,,
329.873783,,5.115e+3,
330.16568,,3.436e+2,
