Ritz wavelength (nm),Co I (5.3e-02),Co II (9.5e-01),Co III (1.2e-03)
227.111875,,6.225e+2,
227.12962,,6.416e+0,
227.167044,,4.202e+1,
227.210795,,2.833e+0,
227.212995,,4.956e+0,
227.21654,,1.229e+0,
227.22652,,2.559e+3,
227.22895,,2.379e+0,
227.267267,,1.082e+1,
227.27038,,3.158e+2,
227.359088,,1.008e+3,
227.480844,,2.261e+1,
227.507565,,2.438e+1,
227.540455,,6.128e+2,
227.616988,,2.557e+2,
227.67842,,1.708e+1,
227.742491,,1.577e+1,
227.785441,,6.893e+1,
227.79174,,1.424e+1,
227.844958,,1.680e+1,
227.846952,,6.838e+2,
227.858477,,1.926e+1,
227.869972,,4.144e+1,
227.905971,,1.134e+1,
227.960372,,2.638e+1,
228.03723,,1.349e+3,
228.08708,,2.545e+2,
228.157916,,2.512e+1,
228.17154,,5.735e+0,
228.189938,,6.636e+3,
228.20135,,9.032e+1,
228.23589,,4.997e+2,
228.25955,,1.290e+1,
228.307595,,1.731e+1,
228.35213,,7.910e+3,
228.385229,,3.288e+0,
228.410805,,6.669e+1,
228.563946,,5.632e+0,
228.58155,,3.793e+2,
228.6159,,2.064e+5,
228.665,,6.363e+0,
228.688278,,5.993e+1,
228.743619,,8.170e+1,
228.7808,1.319e+3,,
228.887977,,2.549e+1,
228.892091,,6.298e+1,
228.923496,,2.617e+1,
228.98002,,3.591e+0,
228.990506,,6.383e+1,
228.996098,,1.880e+1,
229.03247,,4.929e+2,
229.05229,,1.765e+1,
229.062815,,6.182e+1,
229.131053,,1.678e+3,
229.16362,,7.533e+1,
229.182819,,7.472e+0,
229.199099,,2.570e+4,
229.231208,,2.346e+2,
229.231913,,1.920e+1,
229.276636,,4.439e+1,
229.281858,,4.006e+1,
229.33893,,9.729e+3,
229.342885,,2.174e+3,
229.5229,5.739e+2,,
229.574712,,3.398e+2,
229.580412,,5.428e+0,
229.5917,,7.942e+2,
229.59212,,1.294e+1,
229.600234,,1.018e+2,
229.711606,,4.605e+1,
229.72766,,1.779e+2,
229.73501,,6.592e+2,
229.760329,,2.025e+1,
229.77156,,1.418e+1,
229.83029,,1.430e+1,
229.873394,,1.658e+3,
229.88865,,4.062e+0,
229.976909,,8.726e+3,
230.048276,,2.656e+2,
230.05619,,4.402e+1,
230.080862,,3.123e+3,
230.099234,,7.985e+1,
230.140301,,7.770e+3,
230.183805,,2.656e+1,
230.190929,,4.229e+1,
230.323979,,4.643e+0,
230.38045,,2.837e+0,
230.3969,,2.042e+2,
230.402975,,1.165e+1,
230.42163,,6.056e+2,
230.49538,,4.959e+1,
230.53828,,2.323e+1,
230.544931,,3.835e+1,
230.55919,,9.164e+0,
230.571967,,5.854e+1,
230.589923,,3.267e+1,
230.59116,,4.270e+0,
230.598796,,8.257e+0,
230.600929,,5.927e+2,
230.678,,2.359e+2,
230.700266,,9.802e+2,
230.70941,,3.461e+0,
230.75059,,1.681e+3,
230.76351,,1.027e+1,
230.775433,,3.197e+3,
230.786004,,1.331e+5,
230.81292,,1.103e+1,
230.873411,,4.495e+1,
230.9008,1.886e+3,,
230.905532,,2.682e+1,
230.98334,,6.563e+0,
231.03329,,2.501e+1,
231.08374,,4.985e+2,
231.126586,,1.154e+1,
